id,agent,type,type_string,fixed_component,per_tenant_component,multi_tenant_rate,discount_after,mandatory,includes_vat,notes,url_source,unknown
457,1294,60,Change of Occupancy,0.0,300.0,0.0,0,0,1,,,0
441,920,60,Change of Occupancy,60.0,0.0,0.0,0,0,1,,,0
740,637,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
525,656,7,Guarantor Check,60.0,0.0,0.0,0,0,1,,,0
1261,827,7,Guarantor Check,0.0,48.0,0.0,0,0,,,,0
528,666,7,Guarantor Check,60.0,0.0,0.0,0,0,1,Per Guarantor if required,,0
559,1149,178,Late Payment Letter,60.0,0.0,0.0,0,0,,For each letter sent,,0
1262,827,2,Reference Check,0.0,96.0,0.0,0,1,,,,0
538,1147,7,Guarantor Check,0.0,90.0,0.0,0,0,1,,,0
539,1147,10,Permitted Occupier,0.0,0.0,0.0,0,0,1,,,0
2844,3094,381,Referencing and Admin (additional tenants),0.0,30.0,0.0,0,0,0,,,0
541,1147,11,Tenancy Amendment,120.0,0.0,0.0,0,0,1,,,0
1263,827,32,Check Out,0.0,0.0,0.0,0,1,,,,0
739,637,2,Reference Check,0.0,60.0,0.0,0,1,1,,,0
564,1139,6,Inventory Report,162.0,0.0,0.0,0,1,,162-180 - depending if furnished,,0
540,1147,38,Accompanied Check In,200.0,0.0,0.0,0,1,1,Between 200-500 - depending on size of property and per room. ,,0
550,1145,7,Guarantor Check,0.0,120.0,0.0,0,0,,,,0
552,1145,10,Permitted Occupier,0.0,180.0,0.0,0,0,,,,0
2951,3374,92,Admin Fee,75.0,0.0,0.0,0,1,1,,,0
473,932,70,Check Out,90.0,0.0,0.0,0,0,0,,,0
1355,986,7,Guarantor Check,0.0,60.0,0.0,0,0,0,,,0
479,937,70,Check Out,0.0,0.0,0.0,0,0,0,Not listed,,0
544,1147,12,Ongoing Reference,0.0,30.0,0.0,0,0,1,,,0
557,1149,12,Ongoing Reference,0.0,35.0,0.0,0,0,,,,0
1314,841,12,Ongoing Reference,0.0,0.0,0.0,0,0,1,,,0
1315,841,32,Check Out,0.0,0.0,0.0,0,0,1,,,0
568,1150,6,Inventory Report,120.0,0.0,0.0,0,1,,,,0
577,1162,12,Ongoing Reference,0.0,0.0,0.0,0,0,1,,,0
570,1162,7,Guarantor Check,0.0,60.0,0.0,0,0,1,,,0
571,1162,10,Permitted Occupier,0.0,0.0,0.0,0,0,1,,,0
659,638,12,Ongoing Reference,24.0,0.0,0.0,0,0,1,,,0
574,1162,11,Tenancy Amendment,150.0,0.0,0.0,0,0,1,,,0
2952,3374,2,Reference Check,0.0,35.0,0.0,0,1,1,,,0
556,1149,60,Change of Occupancy,300.0,0.0,0.0,0,0,,,,0
554,1145,44,Abort Charge,300.0,0.0,0.0,0,0,,,,0
530,666,70,Check Out,144.0,0.0,0.0,0,0,1,,,0
582,1143,44,Early Termination,150.0,0.0,0.0,0,0,1,,,0
635,641,7,Guarantor Referencing,108.0,0.0,0.0,0,0,1,Per Guarantor,,0
1395,159,39,Check In,90.0,0.0,0.0,0,1,1,,,0
526,666,15,Tenancy Agreement,180.0,0.0,0.0,0,1,1,,,0
562,1139,15,Tenancy Agreement,210.0,0.0,0.0,0,1,,,,0
567,1150,15,Tenancy Agreement,120.0,0.0,0.0,0,1,,,,0
634,641,92,Admin Fee,0.0,108.0,0.0,0,1,1,,,0
561,1139,7,Guarantor Referencing,0.0,120.0,0.0,0,0,,,,0
636,641,39,Check In,78.0,0.0,0.0,0,1,1,78-320 - depending on size,,0
712,677,30,Tenancy Renewal,150.0,0.0,0.0,0,0,0,,,0
658,638,30,Tenancy Renewal,144.0,0.0,0.0,0,0,1,,,0
475,934,70,Check Out,100.0,0.0,0.0,0,0,0,Minimum paid in advance,,0
531,666,30,Tenancy Renewal,144.0,0.0,0.0,0,0,1,,,0
542,1147,30,Tenancy Renewal,120.0,0.0,0.0,0,0,1,,,0
565,1139,30,Tenancy Renewal,150.0,0.0,0.0,0,0,,,,0
741,637,60,Change of Occupancy,0.0,180.0,0.0,0,0,1,,,0
523,656,64,Holding Deposit,200.0,0.0,0.0,0,0,1,,,0
572,1162,39,Accompanied Check In,135.0,0.0,0.0,0,1,1,,,0
508,672,64,Holding Deposit,500.0,0.0,0.0,0,1,,,,0
573,1162,76,Pet Deposit,250.0,0.0,0.0,0,0,1,Returnable security deposit,,0
551,1145,73,Rent in Advance Administration,18.0,0.0,0.0,0,0,,,,0
742,637,70,Check Out,144.0,0.0,0.0,0,0,1,,,0
